,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
3c4f7e1297eac72aff7f5bab58acfe57,21/10/2020,Gojo B. (Cro),Clarke J. (Gbr),1.0,2-1,6-7,7-5,6-2,,,hard,CHALLENGER MEN - SINGLES: Istanbul (Turkey)
4c512b44042e1d6508675169fffecbcd,25/08/2020,Clarke J. (Gbr),Masur D. (Ger),-1.0,0-2,6-7,1-6,,,,clay,CHALLENGER MEN - SINGLES: Prague 2 (Czech Republic)
3551599e4edd8cbc87b19abc52ef08d7,05/02/2020,Pervolarakis M. (Gre),Clarke J. (Gbr),1.0,2-1,6-4,4-6,6-4,,,hard,CHALLENGER MEN - SINGLES: Launceston (Australia)
955b1e24760bad2d91bd8114baacf278,29/01/2020,Klein B. (Gbr),Clarke J. (Gbr),-1.0,1-2,6-1,3-6,4-6,,,hard,CHALLENGER MEN - SINGLES: Burnie (Australia)
0b0a477bcfd2b3f44ea059eb1bfb963b,14/01/2020,Kavcic B. (Slo),Clarke J. (Gbr),1.0,2-1,7-6,3-6,6-2,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
a9459cdae164daefa736e4060f7043f3,08/01/2020,Kavcic B. (Slo),Clarke J. (Gbr),1.0,2-0,6-4,6-2,,,,hard,CHALLENGER MEN - SINGLES: Noumea (New Caledonia)
83e9a6976c4bcb548b08b17e50ac30e1,26/02/2021,Krueger M. (Usa),Harrison C. (Usa),-1.0,1-2,6-7,6-4,5-7,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
6cc0c096d053403cf6b7d6c52359638d,25/02/2021,Krueger M. (Usa),Kirchheimer S. (Usa),1.0,2-0,6-4,6-4,,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
3f9e34267e333e9e12d7683d38f55815,24/02/2021,Krueger M. (Usa),Nanda G. (Usa),1.0,2-0,6-4,6-3,,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
3420b0e7ba42385d6ab3acada2cfbc02,20/02/2021,Krueger M. (Usa),Tabur C. (Fra),-1.0,1-2,3-6,6-3,5-7,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
98fbda52fc57a1bf64b57877318c364b,19/02/2021,Krueger M. (Usa),Gonzalez A. (Col),1.0,2-0,6-2,6-3,,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
1fdb96376fb56f784bf55d69fe09104e,18/02/2021,Krueger M. (Usa),Kozlov S. (Usa),1.0,1-0,6-4,3-0,,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
da0a6a7156226be3d6362482c87cb6d6,17/02/2021,Krueger M. (Usa),Pannu K. (Nzl),1.0,2-0,6-0,6-2,,,,x,"ITF MEN - SINGLES: M25 Naples, FL (USA), clay"
1d7e1c94af877232fa8a4df6983f90c9,11/01/2021,Krueger M. (Usa),Couacaud E. (Fra),1.0,2-1,3-6,6-2,6-2,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
e61e8f0ac3cac6760914375952f43941,20/11/2020,Krueger M. (Usa),Ritschard A. (Usa),1.0,2-1,6-4,6-7,6-1,,,hard,CHALLENGER MEN - SINGLES: Orlando (USA)
42f7e3448f07577816365ddfa7d27be3,19/11/2020,Fratangelo B. (Usa),Krueger M. (Usa),-1.0,1-2,6-3,2-6,2-6,,,hard,CHALLENGER MEN - SINGLES: Orlando (USA)
be51ecadfcfdda5f8c120b805d248284,16/11/2020,Krueger M. (Usa),Polansky P. (Can),1.0,2-0,6-4,6-4,,,,hard,CHALLENGER MEN - SINGLES: Orlando (USA)
5948c8e6db50c101f5c84f57df06c728,10/11/2020,Ymer E. (Swe),Krueger M. (Usa),-1.0,0-2,1-6,2-6,,,,hard,CHALLENGER MEN - SINGLES: Cary (USA)
4676a6e6734a5be15b0c042a8aae854b,08/10/2020,Ficovich J. P. (Arg),Krueger M. (Usa),1.0,2-0,6-1,6-4,,,,clay,CHALLENGER MEN - SINGLES: Parma (Italy)
cbc18769884cce1bd6fe2f91a4cbabe7,28/09/2020,Krueger M. (Usa),Kolar Z. (Cze),-1.0,0-2,2-6,3-6,,,,clay,CHALLENGER MEN - SINGLES: Split (Croatia)
5274957cb36341929b89efeb8c0bf810,23/07/2020,Krueger M. (Usa),Harrison R. (Usa),-1.0,0-1,2-5,,,,,hard,EXHIBITION - MEN: World TeamTennis (USA)
127a7db21672b4a79d21efacc68c5544,21/07/2020,Sock J. (Usa),Krueger M. (Usa),-1.0,0-1,4-5,,,,,hard,EXHIBITION - MEN: World TeamTennis (USA)
ef54a1935a973c2bf4fa49b411a71b56,19/07/2020,Krueger M. (Usa),Sock J. (Usa),-1.0,0-1,2-5,,,,,hard,EXHIBITION - MEN: World TeamTennis (USA)
ab4fbaed335b24029366891f5b482b53,02/03/2020,Krueger M. (Usa),Sela D. (Isr),1.0,2-1,0-6,7-6,7-5,,,hard,CHALLENGER MEN - SINGLES: Indian Wells (USA)
601978ccb235feb2ffd8cab21fe1bfb7,09/02/2020,Krueger M. (Usa),Sela D. (Isr),1.0,2-1,3-6,6-3,6-2,,,hard (indoor),ATP - SINGLES: New York (USA) - Qualification
eff888db696901a833a9b3428f5f5085,06/02/2020,Krueger M. (Usa),Bellucci T. (Bra),1.0,2-1,6-7,6-4,71-6,,,hard (indoor),CHALLENGER MEN - SINGLES: Dallas (USA)
428bd2eded4ceb4fcafe4beb6dd308dd,31/01/2020,Krueger M. (Usa),Sarmiento R. (Usa),1.0,2-1,6-3,6-7,6-3,,,hard,CHALLENGER MEN - SINGLES: Newport Beach (USA)
68b3e991ac70eb0e7f3fd7cb202e5f98,30/01/2020,Young D. (Usa),Krueger M. (Usa),-1.0,1-2,6-3,1-6,4-6,,,hard,CHALLENGER MEN - SINGLES: Newport Beach (USA)
3d02abb78a31a92a6443abfc8396d5bc,15/01/2020,Escobedo E. (Usa),Krueger M. (Usa),1.0,2-1,2-6,70-6,70-6,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
