,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
ea42b89ece5f29b83ef37558a2940378,09/09/2020,Travaglia S. (Ita),Popko D. (Kaz),1.0,2-0,7-6,6-4,,,,clay,CHALLENGER MEN - SINGLES: Prostejov (Czech Republic)
36dc2d02ac4f7fcc9a5f98e81d915c2d,07/09/2020,Travaglia S. (Ita),Svrcina D. (Cze),1.0,2-1,3-6,6-1,6-1,,,clay,CHALLENGER MEN - SINGLES: Prostejov (Czech Republic)
3150263dafcb5c4db165de4cd053fe9e,20/08/2020,Gombos N. (Svk),Travaglia S. (Ita),1.0,2-1,7-6,4-6,6-4,,,hard,ATP - SINGLES: Cincinnati (USA) - Qualification
0577a0bb0399d8203a3e403ca7295d31,07/03/2020,Travaglia S. (Ita),Chung Y. (Kor),1.0,2-0,6-0,6-1,,,,x,ATP - SINGLES: Davis Cup - World Group (World) - Qualification
e0c52dc8d541fd52f2d0379f4b1896d3,15/02/2020,Bonzi B. (Fra),Travaglia S. (Ita),1.0,2-0,6-3,6-4,,,,hard,CHALLENGER MEN - SINGLES: Bengaluru (India)
ae941a9e7223f5ac83db1ef14cc99e96,14/02/2020,Rola B. (Slo),Travaglia S. (Ita),-1.0,1-2,4-6,6-4,2-6,,,hard,CHALLENGER MEN - SINGLES: Bengaluru (India)
55a54d15974ea8f32d73a99a17d44320,13/02/2020,Safwat M. (Egy),Travaglia S. (Ita),-1.0,0-2,2-6,6-7,,,,hard,CHALLENGER MEN - SINGLES: Bengaluru (India)
d0d4df182cd0a0b468b12914e4b5103a,11/02/2020,Baldi F. (Ita),Travaglia S. (Ita),-1.0,0-2,2-6,1-6,,,,hard,CHALLENGER MEN - SINGLES: Bengaluru (India)
18b1cae0eeae2164cb5b1b1fbc3ab5bd,05/02/2020,Ivashka I. (Blr),Travaglia S. (Ita),1.0,2-0,7-6,7-6,,,,hard,ATP - SINGLES: Pune (India)
b287e7e9e13f202f86b8fcb55828e9c5,18/01/2020,Johnson S. (Usa),Travaglia S. (Ita),1.0,2-0,7-6,7-6,,,,hard,CHALLENGER MEN - SINGLES: Bendigo (Australia)
2c15b0bb23a9ffc302cc5d5ae8f32496,17/01/2020,Travaglia S. (Ita),Giron M. (Usa),1.0,2-0,6-3,6-3,,,,hard,CHALLENGER MEN - SINGLES: Bendigo (Australia)
21028c121b8d68967d76626d84cd3275,16/01/2020,O'Connell C. (Aus),Travaglia S. (Ita),-1.0,0-2,4-6,2-6,,,,hard,CHALLENGER MEN - SINGLES: Bendigo (Australia)
d47da15701629637512f4f1913df3599,16/01/2020,Kravchuk K. (Rus),Travaglia S. (Ita),-1.0,0-2,6-7,3-6,,,,hard,CHALLENGER MEN - SINGLES: Bendigo (Australia)
aeffbf1ea2e112af3e006735765e46ff,14/01/2020,Kelly D. (Aus),Travaglia S. (Ita),-1.0,0-2,4-6,4-6,,,,hard,CHALLENGER MEN - SINGLES: Bendigo (Australia)
4e23b78bff60e7971479d888242d2559,05/01/2020,Travaglia S. (Ita),Durasovic V. (Nor),1.0,2-0,6-1,6-1,,,,hard,ATP - SINGLES: ATP Cup (Australia)
d7dfdd8813099f276e6fd52d17b2884f,27/02/2021,Chardy J. (Fra),Griekspoor T. (Ned),1.0,2-1,6-4,4-6,6-0,,,hard (indoor),ATP - SINGLES: Rotterdam (Netherlands) - Qualification
128f8878ad545822a5fb5189fd333eea,03/02/2021,Chardy J. (Fra),Simon G. (Fra),1.0,2-0,6-3,6-4,,,,hard,ATP - SINGLES: Melbourne (Murray River Open) (Australia)
5258b249431a4d3838f969074d876755,08/01/2021,Chardy J. (Fra),Albot R. (Mda),1.0,2-0,6-3,6-4,,,,hard,ATP - SINGLES: Antalya (Turkey)
fc30c2370ff818fbf5a753d91e9fc14f,27/09/2020,Rodionov J. (Aut),Chardy J. (Fra),1.0,3-2,3-6,4-6,7-6,6-4,10-8,clay,ATP - SINGLES: French Open (France)
b15fe6400b824def2c30537fc581ef67,13/09/2020,Chardy J. (Fra),Martin A. (Svk),-1.0,0-2,2-6,2-6,,,,clay,ATP - SINGLES: Rome (Italy) - Qualification
4ab3fa8848e920c06619bf6567dabe4a,12/09/2020,Chardy J. (Fra),Venus M. (Nzl),1.0,2-0,6-1,6-1,,,,clay,ATP - SINGLES: Rome (Italy) - Qualification
bd0230cd5d79a52ea574c332253f1547,20/08/2020,Chardy J. (Fra),Ruusuvuori E. (Fin),-1.0,0-2,0-6,4-6,,,,hard,ATP - SINGLES: Cincinnati (USA) - Qualification
9802b65fa7f8342f45faaedd02865a0a,13/01/2020,Simon G. (Fra),Chardy J. (Fra),-1.0,0-2,3-6,5-7,,,,hard,ATP - SINGLES: Adelaide (Australia)
fab40236f5b61f782dbca0bff889f130,06/01/2020,Barrere G. (Fra),Chardy J. (Fra),-1.0,1-2,3-6,6-3,3-6,,,hard,ATP - SINGLES: Doha (Qatar)
071cb2dd59e9989c3b1271749f3150bc,27/02/2021,Norrie C. (Gbr),Niesten M. (Ned),1.0,2-0,6-2,6-0,,,,hard (indoor),ATP - SINGLES: Rotterdam (Netherlands) - Qualification
d158cd7f435f535d5124b002d6e465d9,11/02/2021,Norrie C. (Gbr),Safiullin R. (Rus),1.0,3-1,3-6,7-5,6-3,7-6,,hard,ATP - SINGLES: Australian Open (Australia)
0e40f7c0d7436f7c091cb99aec0a5cb3,13/01/2021,Norrie C. (Gbr),Korda S. (Usa),-1.0,0-2,3-6,5-7,,,,hard,ATP - SINGLES: Delray Beach (USA)
49a5383b77d8e6ab39fdc66d37ea9b2f,08/01/2021,Norrie C. (Gbr),Aragone J. (Usa),1.0,2-0,6-2,6-1,,,,hard,ATP - SINGLES: Delray Beach (USA)
44ac2b8c0c0c34433343e182a64feda4,22/12/2020,Murray A. (Gbr),Norrie C. (Gbr),1.0,2-0,6-4,7-6,,,,x,EXHIBITION - MEN: Others matches (World)
8ead5e7f41931b9dfdf7020a4901768d,21/12/2020,Norrie C. (Gbr),Draper J. (Gbr),-1.0,0-2,6-7,6-7,,,,x,EXHIBITION - MEN: Others matches (World)
196996a7b7aed4ebf94ee71aa9a49ad8,20/10/2020,Ruusuvuori E. (Fin),Norrie C. (Gbr),-1.0,0-2,3-6,6-7,,,,hard (indoor),ATP - SINGLES: Antwerp (Belgium)
00a2ccb3c176808cf9d3eae20233cb41,28/09/2020,Galan Riveros D. E. (Col),Norrie C. (Gbr),1.0,3-2,4-6,6-3,5-7,6-1,6-1,clay,ATP - SINGLES: French Open (France)
73b88a863a46323e234d99316f2e0311,23/09/2020,Pellegrino A. (Ita),Norrie C. (Gbr),1.0,2-0,6-2,6-4,,,,clay,CHALLENGER MEN - SINGLES: Forli (Italy)
6eb702de0e491358b41cc98a9c8884c4,21/09/2020,Harrison C. (Usa),Norrie C. (Gbr),-1.0,1-2,5-7,6-3,4-6,,,clay,CHALLENGER MEN - SINGLES: Forli (Italy)
eec2d552e0c3439f57a86eaf177e393d,12/09/2020,Zeppieri G. (Ita),Norrie C. (Gbr),1.0,2-0,6-3,6-1,,,,clay,ATP - SINGLES: Rome (Italy) - Qualification
e7fdbb38555fe8fcc04400bf331a6d0e,02/09/2020,Norrie C. (Gbr),Coria F. (Arg),1.0,3-0,6-3,6-4,6-4,,,hard,ATP - SINGLES: US Open (USA)
3600f96f02ef87db1e53d68eae3d9d0b,21/08/2020,Majchrzak K. (Pol),Norrie C. (Gbr),-1.0,1-2,7-5,2-6,4-6,,,hard,ATP - SINGLES: Cincinnati (USA) - Qualification
bb5c34ea4912976ce2ca141c4f1db1f9,21/08/2020,Kukushkin M. (Kaz),Norrie C. (Gbr),-1.0,0-2,6-7,2-6,,,,hard,ATP - SINGLES: Cincinnati (USA) - Qualification
bc8a0632a7512786b044f441717fc221,31/07/2020,Peniston R. (Gbr),Norrie C. (Gbr),-1.0,1-2,5-7,6-3,8-10,,,hard,EXHIBITION - MEN: Battle of the Brits 2 (United Kingdom)
f61df9528aff3d9b7e38ea6f5cfc6e7c,28/07/2020,Choinski J. (Gbr),Norrie C. (Gbr),-1.0,0-2,4-6,3-6,,,,hard,EXHIBITION - MEN: Battle of the Brits 2 (United Kingdom)
db451598c0a1ddf247433dd606177847,12/07/2020,Norrie C. (Gbr),Jubb P. (Gbr),1.0,2-0,6-1,6-3,,,,x,EXHIBITION - MEN: Others matches (World)
939e4efa605026e7eff80999ede07b0c,11/07/2020,Norrie C. (Gbr),McHugh A. (Gbr),1.0,2-0,6-2,6-4,,,,x,EXHIBITION - MEN: Others matches (World)
235bffe83a19afb2833b40e98b410bf3,10/07/2020,Norrie C. (Gbr),Recci M. (Gbr),1.0,2-0,6-4,6-2,,,,x,EXHIBITION - MEN: Others matches (World)
bbf1b89bb05222e1627bf80b8f731bc2,09/07/2020,Norrie C. (Gbr),Jones B. (Gbr),1.0,2-0,6-1,6-0,,,,x,EXHIBITION - MEN: Others matches (World)
318c4a038b7183bde897564a051e2f1e,28/06/2020,Norrie C. (Gbr),Ward J. (Gbr),1.0,2-0,6-3,7-5,,,,hard (indoor),EXHIBITION - MEN: Battle of the Brits (United Kingdom) - Play Offs
0c08de6ea0b5950c7f9f0f56312e5a41,26/06/2020,Jubb P. (Gbr),Norrie C. (Gbr),-1.0,0-2,0-6,2-6,,,,hard (indoor),EXHIBITION - MEN: Battle of the Brits (United Kingdom)
d33bf5dc2ae96f789876b7dc9f8dff18,24/06/2020,Norrie C. (Gbr),Peniston R. (Gbr),1.0,2-1,3-6,6-1,10-4,,,hard (indoor),EXHIBITION - MEN: Battle of the Brits (United Kingdom)
8753c3b415f7f39758bea1f9601839de,19/02/2020,Norrie C. (Gbr),Nakashima B. (Usa),-1.0,0-2,5-7,2-6,,,,hard,ATP - SINGLES: Delray Beach (USA)
1af8a6cb3b8e243fa28d93d5d9ea07d9,16/02/2020,Norrie C. (Gbr),Krueger M. (Usa),1.0,2-1,4-6,6-2,7-6,,,hard,ATP - SINGLES: Delray Beach (USA) - Qualification
66687070cfd93ece8723f58a685423d9,15/02/2020,Norrie C. (Gbr),Torebko P. (Ger),1.0,2-0,6-2,6-2,,,,hard,ATP - SINGLES: Delray Beach (USA) - Qualification
4d6236b0d06be1e09f38854eac16067d,13/02/2020,Jung J. (Tpe),Norrie C. (Gbr),1.0,2-0,6-4,6-4,,,,hard (indoor),ATP - SINGLES: New York (USA)
f0ba5334e25ec2bc4868759c22242127,12/02/2020,Shi B. (Usa),Norrie C. (Gbr),-1.0,0-2,5-7,3-6,,,,hard (indoor),ATP - SINGLES: New York (USA)
4ef6593178d1596ce1f149ab79b7595a,21/01/2020,Herbert P. (Fra),Norrie C. (Gbr),1.0,3-2,7-5,3-6,3-6,7-5,6-4,hard,ATP - SINGLES: Australian Open (Australia)
a263b365fbd9f97f89f5c8a10a8a9d09,13/01/2020,Norrie C. (Gbr),Monteiro T. (Bra),-1.0,0-2,6-7,2-6,,,,hard,ATP - SINGLES: Auckland (New Zealand)
0f487a02087c6bcd92a66ba5048ff8dc,07/01/2020,Norrie C. (Gbr),Cozbinov A. (Mda),1.0,2-0,6-2,6-2,,,,hard,ATP - SINGLES: ATP Cup (Australia)
3ce68c8faaf53e450a064d1540c97821,05/01/2020,Darcis S. (Bel),Norrie C. (Gbr),1.0,2-0,6-2,6-4,,,,hard,ATP - SINGLES: ATP Cup (Australia)
09471e6decaa7eade0e3e962be5032d0,03/01/2020,Norrie C. (Gbr),Kuzmanov D. (Bul),1.0,2-1,6-2,3-6,6-2,,,hard,ATP - SINGLES: ATP Cup (Australia)
96848a7247eb8d29da2a8d331a83a6d8,22/02/2021,Tsonga J-W. (Fra),Korda S. (Usa),-1.0,0-2,4-6,2-6,,,,hard (indoor),ATP - SINGLES: Montpellier (France)
92e0be26fabc964cf596f9c5efc154d7,21/01/2020,Popyrin Al. (Aus),Tsonga J-W. (Fra),1.0,2-1,6-7,6-2,6-1,,,hard,ATP - SINGLES: Australian Open (Australia)
a242a6c8ee43b8fd55078fe9192d454e,09/11/2020,Pospisil V. (Can),Marchenko I. (Ukr),1.0,2-1,6-2,5-7,7-6,,,hard (indoor),ATP - SINGLES: Sofia (Bulgaria)
a18bba315e1925933b1392cc86eebb01,31/10/2020,Benchetrit E. (Mar),Pospisil V. (Can),-1.0,0-2,0-6,1-6,,,,hard (indoor),ATP - SINGLES: Paris (France) - Qualification
049ae9e63e1108aa8f6c4b8bb62eda6e,25/10/2020,Jung J. (Tpe),Pospisil V. (Can),-1.0,1-2,6-7,6-3,3-6,,,hard (indoor),ATP - SINGLES: Vienna (Austria) - Qualification
0cfe1112a9eaf2647e202680d9a8240d,24/10/2020,Erler A. (Aut),Pospisil V. (Can),-1.0,1-2,6-3,3-6,2-6,,,hard (indoor),ATP - SINGLES: Vienna (Austria) - Qualification
b09afdfb48d7b1bd2aa852416af2536f,01/09/2020,Pospisil V. (Can),Kohlschreiber P. (Ger),1.0,3-0,7-6,7-5,7-6,,,hard,ATP - SINGLES: US Open (USA)
99dd60ebdb8478690ab19a997bd96385,27/02/2020,Pospisil V. (Can),Zuk K. (Pol),-1.0,1-2,4-6,6-4,4-6,,,hard (indoor),CHALLENGER MEN - SINGLES: Calgary (Canada)
7f3c537b18b17962d5833abc0cefd81f,18/02/2020,Pospisil V. (Can),Ruusuvuori E. (Fin),1.0,2-0,7-6,6-3,,,,hard (indoor),ATP - SINGLES: Marseille (France)
838175c32b28272a17284fad1cc9f064,21/01/2020,Karlovic I. (Cro),Pospisil V. (Can),1.0,3-0,7-6,6-4,7-5,,,hard,ATP - SINGLES: Australian Open (Australia)
0e5be91121561fce592d10e6666875c8,13/01/2020,Sousa J. (Por),Pospisil V. (Can),-1.0,0-2,4-6,2-6,,,,hard,ATP - SINGLES: Auckland (New Zealand)
6c2e6eb25756916b98c1f92538ce9734,12/01/2020,Rune H. (Den),Pospisil V. (Can),-1.0,0-2,5-7,1-6,,,,hard,ATP - SINGLES: Auckland (New Zealand) - Qualification
7e587f2c8ea74a0d5616aa487e4b52dd,11/01/2020,Pannu K. (Nzl),Pospisil V. (Can),-1.0,0-2,2-6,4-6,,,,hard,ATP - SINGLES: Auckland (New Zealand) - Qualification
855878f4b583169b23ca8cd1fd8f89a3,23/02/2021,Novak D. (Aut),Simon G. (Fra),1.0,2-1,7-6,1-6,6-3,,,hard (indoor),ATP - SINGLES: Montpellier (France)
01281879d5f35c5820e0a8573af4863d,02/02/2021,Ymer E. (Swe),Simon G. (Fra),-1.0,0-2,4-6,4-6,,,,hard,ATP - SINGLES: Melbourne (Murray River Open) (Australia)
04cf4b6497ff2a85c23457fe4ab7c07d,10/11/2020,Simon G. (Fra),Martin A. (Svk),1.0,2-0,6-2,6-2,,,,hard (indoor),ATP - SINGLES: Sofia (Bulgaria)
5c847d3a475618e82803f41351a9f975,08/11/2020,Simon G. (Fra),Marchenko I. (Ukr),1.0,2-0,6-2,6-3,,,,hard (indoor),ATP - SINGLES: Sofia (Bulgaria) - Qualification
c0fbd6b324cf3480af67a42b9b4ef0d2,07/11/2020,Simon G. (Fra),Saville L. (Aus),1.0,2-0,6-4,6-3,,,,hard (indoor),ATP - SINGLES: Sofia (Bulgaria) - Qualification
663bda377d653738d79d4c962fc1608f,21/09/2020,Vesely J. (Cze),Simon G. (Fra),1.0,2-0,7-5,6-2,,,,clay,ATP - SINGLES: Hamburg (Germany)
5ba5d30b019fa1e0c5a9198d982ff507,20/09/2020,Simon G. (Fra),Cuevas P. (Uru),-1.0,0-2,4-6,6-7,,,,clay,ATP - SINGLES: Hamburg (Germany) - Qualification
5e018ab5356017633889a8ca00cc2ffc,19/09/2020,Simon G. (Fra),Rosenkranz M. (Ger),1.0,2-0,6-1,6-1,,,,clay,ATP - SINGLES: Hamburg (Germany) - Qualification
60125d6790c12ff93bfceaced9ecd06e,13/09/2020,Simon G. (Fra),Koepfer D. (Ger),-1.0,1-2,5-7,6-2,3-6,,,clay,ATP - SINGLES: Rome (Italy) - Qualification
a6eb5f429cf4b3bbdd8c4bd4824e17a0,08/09/2020,Simon G. (Fra),Gaio F. (Ita),-1.0,0-2,5-7,2-6,,,,clay,CHALLENGER MEN - SINGLES: Aix en Provence (France)
d28d895393390a4a6bfbbc31767f9bdd,31/08/2020,Safwat M. (Egy),Simon G. (Fra),-1.0,0-3,1-6,4-6,4-6,,,hard,ATP - SINGLES: US Open (USA)
4b777e99e7757655de07c0c5601a3970,21/08/2020,Simon G. (Fra),Korda S. (Usa),-1.0,1-2,6-3,0-6,1-6,,,hard,ATP - SINGLES: Cincinnati (USA) - Qualification
12d3614b6218edf224520fe8cfbe6e9e,21/08/2020,Simon G. (Fra),Daniel T. (Jpn),1.0,2-0,6-3,6-3,,,,hard,ATP - SINGLES: Cincinnati (USA) - Qualification
057f71c6c2603b4a1b5eb465bd22ce02,25/07/2020,Simon G. (Fra),Hamou M. (Fra),1.0,2-0,6-2,6-1,,,,hard,EXHIBITION - MEN: Challenge Elite FFT 3 (France) - Play Offs
f4e705ee24cad76121981ca6db67a9f7,24/07/2020,Simon G. (Fra),Gaston H. (Fra),1.0,2-0,6-2,6-1,,,,hard,EXHIBITION - MEN: Challenge Elite FFT 3 (France) - Play Offs
0a2c85445211a64c9f55ab2a733325a1,23/07/2020,Simon G. (Fra),Mahut N. (Fra),1.0,2-0,6-4,6-4,,,,hard,EXHIBITION - MEN: Challenge Elite FFT 3 (France) - Play Offs
1df4eb47724e96689016af45dd293e60,22/07/2020,Simon G. (Fra),Cazaux A. (Fra),1.0,2-0,6-4,6-4,,,,hard,EXHIBITION - MEN: Challenge Elite FFT 3 (France)
d800ace2d48a9a55e3af22901068f531,21/07/2020,Simon G. (Fra),Bourgue M. (Fra),1.0,2-1,3-6,6-1,10-5,,,hard,EXHIBITION - MEN: Challenge Elite FFT 3 (France)
b9db6bed89f7629a1e28c03c43014187,15/07/2020,Simon G. (Fra),Grenier H. (Fra),-1.0,1-2,6-7,6-2,3-10,,,hard,EXHIBITION - MEN: Challenge Elite FFT 2 (France)
e48274dd69f8b8ae16e515ded1134f82,14/07/2020,Simon G. (Fra),Jacquet K. (Fra),1.0,2-1,4-6,7-6,13-11,,,hard,EXHIBITION - MEN: Challenge Elite FFT 2 (France)
df35dbc718df41a2e48b7b720b5aff92,11/07/2020,Simon G. (Fra),Herbert P. (Fra),1.0,2-0,7-6,7-6,,,,hard,EXHIBITION - MEN: Challenge Elite FFT (France) - Play Offs
d1a4d78525a136f006079a962ecb2f55,10/07/2020,Simon G. (Fra),Grenier H. (Fra),1.0,2-0,6-2,7-6,,,,hard,EXHIBITION - MEN: Challenge Elite FFT (France) - Play Offs
4007e075339ee3fe6b38b0686ef6f241,09/07/2020,Simon G. (Fra),Bourgue M. (Fra),1.0,2-0,6-1,6-4,,,,hard,EXHIBITION - MEN: Challenge Elite FFT (France) - Play Offs
b8acbc4a7d8ae6061d93069ddce873c2,08/07/2020,Simon G. (Fra),Guinard M. (Fra),1.0,2-1,7-6,5-7,10-5,,,hard,EXHIBITION - MEN: Challenge Elite FFT (France)
d66424a65a7ebec5ca8e501db6121df9,07/07/2020,Simon G. (Fra),Added D. (Fra),1.0,2-0,6-1,7-6,,,,hard,EXHIBITION - MEN: Challenge Elite FFT (France)
dac6021b10c208019f2a6e56de717e7b,18/02/2020,Simon G. (Fra),Mayot H. (Fra),1.0,2-0,6-4,7-6,,,,hard (indoor),ATP - SINGLES: Marseille (France)
f8cf95209357a1fd188f9c3b333d6e1d,12/02/2020,Simon G. (Fra),Kukushkin M. (Kaz),1.0,2-1,7-6,3-6,6-3,,,hard (indoor),ATP - SINGLES: Rotterdam (Netherlands)
b428134bcc42ea62ffe9e8bdb1e1a971,21/01/2020,Cuevas P. (Uru),Simon G. (Fra),-1.0,0-3,1-6,3-6,3-6,,,hard,ATP - SINGLES: Australian Open (Australia)
9c554f442c2ed03d3d246a96d980646d,08/01/2020,Simon G. (Fra),Harris G. (Rsa),1.0,2-1,2-6,6-2,6-2,,,hard,ATP - SINGLES: ATP Cup (Australia)
a7313e0d551c4ff13fc9544c89406b15,25/02/2021,Vesely J. (Cze),Gojowczyk P. (Ger),-1.0,1-2,7-6,6-7,3-6,,,hard (indoor),ATP - SINGLES: Montpellier (France)
cdc6e9314ae49a7b645ca32afb4b8d37,23/02/2021,Ymer M. (Swe),Vesely J. (Cze),-1.0,0-2,1-6,1-6,,,,hard (indoor),ATP - SINGLES: Montpellier (France)
5931d5e4cb479ae35e23df561f070da8,08/02/2021,Coppejans K. (Bel),Vesely J. (Cze),-1.0,2-3,4-6,6-3,7-6,3-6,3-6,hard,ATP - SINGLES: Australian Open (Australia)
78bef69dcc0738fb408fb859e8bd3e89,05/02/2021,Vesely J. (Cze),Berankis R. (Ltu),1.0,2-0,6-4,6-2,,,,hard,ATP - SINGLES: Melbourne (Murray River Open) (Australia)
57631370496f9653e9aacb48f67c4433,02/02/2021,Ferreira Silva F. (Por),Vesely J. (Cze),-1.0,0-2,4-6,4-6,,,,hard,ATP - SINGLES: Melbourne (Murray River Open) (Australia)
084b6282e6a12a1b840fff164e89891e,07/01/2021,Ruusuvuori E. (Fin),Vesely J. (Cze),1.0,2-0,6-3,7-6,,,,hard,ATP - SINGLES: Antalya (Turkey)
39b8cdc13a10bc3fc3e7e99b4524b53e,28/10/2020,Vesely J. (Cze),Gerasimov E. (Blr),-1.0,1-2,6-4,3-6,4-6,,,hard (indoor),ATP - SINGLES: Nur-Sultan (Kazakhstan)
8759ad8da70d18c34d5d367fdf247f33,12/10/2020,Vesely J. (Cze),Majchrzak K. (Pol),1.0,2-0,6-1,7-5,,,,clay,ATP - SINGLES: Sardinia (Italy)
f26f6819e33c67fe07e668d573487552,28/09/2020,Vesely J. (Cze),Broady L. (Gbr),1.0,3-1,6-2,5-7,6-3,6-2,,clay,ATP - SINGLES: French Open (France)
1b441046e2e8cb4e60b08baf00c4e651,20/09/2020,Hampel L. (Aut),Vesely J. (Cze),-1.0,0-2,4-6,0-6,,,,clay,ATP - SINGLES: Hamburg (Germany) - Qualification
1511dca0f303e15f525dde470437363d,19/09/2020,Welte M. (Ger),Vesely J. (Cze),-1.0,0-2,4-6,4-6,,,,clay,ATP - SINGLES: Hamburg (Germany) - Qualification
bf4f983420d9c3c67db1e588158b737a,09/09/2020,Vukic A. (Aus),Vesely J. (Cze),1.0,2-0,7-6,6-3,,,,clay,CHALLENGER MEN - SINGLES: Prostejov (Czech Republic)
026987bde176e23eb6d9767bbd19afe2,08/09/2020,Ivashka I. (Blr),Vesely J. (Cze),-1.0,0-2,2-6,3-6,,,,clay,CHALLENGER MEN - SINGLES: Prostejov (Czech Republic)
8906168289025c3c34600433109757e0,02/09/2020,Moutet C. (Fra),Vesely J. (Cze),1.0,3-0,6-4,6-4,7-5,,,hard,ATP - SINGLES: US Open (USA)
9b6ce685982b794d4382ed285638403a,23/07/2020,Vesely J. (Cze),Pavlasek A. (Cze),1.0,2-1,7-6,2-6,10-4,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
3377de6642fb05574d8d40b3a4d352e9,10/07/2020,Krumich M. (Cze),Vesely J. (Cze),-1.0,0-2,3-6,5-7,,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
1a386cd1d6e2827ad8ef245e4b834952,09/07/2020,Vrbensky M. (Cze),Vesely J. (Cze),-1.0,0-2,1-6,6-7,,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
edd8181e230bcc37faaf15d3d22aee38,04/07/2020,Vesely J. (Cze),Klein L. (Svk),1.0,2-1,7-5,3-6,7-5,,,clay,EXHIBITION - MEN: O pohar pratelstvi (Europe)
11b77069dec712fc6f5a36f8df4ec9b6,02/07/2020,Vesely J. (Cze),Nouza P. (Cze),1.0,2-0,7-6,6-3,,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
9325b553f4f7ae0814bacd4133c6f605,18/06/2020,Vesely J. (Cze),Vrbensky M. (Cze),1.0,2-1,4-6,6-0,10-3,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
8478eb5f9ab355df7fb81462a801ca0b,12/06/2020,Safranek V. (Cze),Vesely J. (Cze),-1.0,1-2,6-4,4-6,6-7,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
d9486c84b5c0fef2e3524146714c9f45,11/06/2020,Satral J. (Cze),Vesely J. (Cze),-1.0,0-2,2-6,4-6,,,,clay,EXHIBITION - MEN: TOP liga CTS (Czech Republic)
5f68df9cad2253ec397b375d105a1300,26/05/2020,Vesely J. (Cze),Vrbensky M. (Cze),-1.0,1-2,6-4,3-6,4-10,,,clay,EXHIBITION - MEN: O pohar prezidenta CTS (Czech Republic)
00909562c25bf36a0e83b998d05d8681,07/03/2020,Martin A. (Svk),Vesely J. (Cze),-1.0,1-2,6-4,5-7,5-7,,,x,ATP - SINGLES: Davis Cup - World Group (World) - Qualification
98c7ea15bf8c2cbd1f257c5bff1c87ea,06/03/2020,Kovalik J. (Svk),Vesely J. (Cze),-1.0,0-2,3-6,5-7,,,,x,ATP - SINGLES: Davis Cup - World Group (World) - Qualification
e26505da904f5e64ea1a452368082db7,29/02/2020,Vesely J. (Cze),Janowicz J. (Pol),-1.0,1-2,4-6,7-6,6-7,,,hard (indoor),CHALLENGER MEN - SINGLES: Pau (France)
2be57ab71ecf916663c3280ec9e3a981,28/02/2020,Vesely J. (Cze),Mayot H. (Fra),1.0,2-0,7-6,7-6,,,,hard (indoor),CHALLENGER MEN - SINGLES: Pau (France)
03d4a4e05c45011f2021f62f6f0ec1c3,27/02/2020,Vesely J. (Cze),Lestienne C. (Fra),1.0,2-0,6-4,7-6,,,,hard (indoor),CHALLENGER MEN - SINGLES: Pau (France)
c08c8d12c86326e48f3b5a2f106c391f,26/02/2020,Vesely J. (Cze),Bourgue M. (Fra),1.0,2-1,6-4,6-71,6-3,,,hard (indoor),CHALLENGER MEN - SINGLES: Pau (France)
a8d915ff9f8c0b6fab191e98a1d2a527,17/02/2020,Vesely J. (Cze),Nakashima B. (Usa),-1.0,0-2,6-7,1-6,,,,hard,ATP - SINGLES: Delray Beach (USA)
b0c45f3902e8964851fb602763b8d5eb,09/02/2020,Gerasimov E. (Blr),Vesely J. (Cze),-1.0,1-2,6-7,7-5,3-6,,,hard,ATP - SINGLES: Pune (India)
a21b8b4b6b621b4f2b18e1f2d4a7637b,08/02/2020,Vesely J. (Cze),Berankis R. (Ltu),1.0,2-1,6-70,7-6,7-6,,,hard,ATP - SINGLES: Pune (India)
6ae972b2fe9d42d26ea03471283c6e35,07/02/2020,Vesely J. (Cze),Ivashka I. (Blr),1.0,2-1,2-6,6-1,73-61,,,hard,ATP - SINGLES: Pune (India)
73b31dfc1c7654c5b30f5bee71d9c4e8,05/02/2020,Caruso S. (Ita),Vesely J. (Cze),-1.0,0-2,6-7,4-6,,,,hard,ATP - SINGLES: Pune (India)
9dd115b4bea9e1b1197982813bac5050,04/02/2020,Kadhe A. (Ind),Vesely J. (Cze),-1.0,0-2,2-6,4-6,,,,hard,ATP - SINGLES: Pune (India)
ebcdb5dd3fb391913a6addf59e159bb4,24/01/2020,Vesely J. (Cze),Gaio F. (Ita),-1.0,0-2,6-7,3-6,,,,hard,CHALLENGER MEN - SINGLES: Bangkok 2 (Thailand)
12f04c57ded65491d464c89d4c2f0b46,23/01/2020,Vesely J. (Cze),Van De Zandschulp B. (Ned),1.0,2-1,6-3,3-6,6-4,,,hard,CHALLENGER MEN - SINGLES: Bangkok 2 (Thailand)
2605630c0d6d3ef1a3eb7fdb9a0019c8,22/01/2020,Vesely J. (Cze),Kolar Z. (Cze),1.0,2-1,6-4,3-6,6-3,,,hard,CHALLENGER MEN - SINGLES: Bangkok 2 (Thailand)
